,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,733993,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,324737,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"On The Ground",ROSÉ,324078,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
4,"Blue Jeans",GANGGA,319772,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
5,Bertaut,"Nadin Amizah",278984,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
6,"At My Worst","Pink Sweat$",238466,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,Gone,ROSÉ,233331,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
8,"Melukis Senja","Budi Doremi",215526,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",208797,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Putus Atau Terus",Judika,193638,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
11,"drivers license","Olivia Rodrigo",192710,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,Weak,"Larissa Lambert",187334,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
13,happy,Skinnyfabs,170105,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"One Only",Pamungkas,162495,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,157446,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,156525,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"Hold On","Justin Bieber",151281,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
18,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",149314,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
19,"Kenangan Manis",Pamungkas,145963,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
20,Snowman,Sia,137783,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
21,Kota,Dere,137351,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
22,Heather,"Conan Gray",136433,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,Monolog,Pamungkas,132285,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
24,"I Love You but I'm Letting Go",Pamungkas,126286,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
25,Celebrity,IU,122249,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
26,"Katakan Saja",Khifnu,121265,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
27,Lantas,"Juicy Luicy",120676,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
28,"Makna Cinta","Rizky Febian",114185,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
29,Dynamite,BTS,112073,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
30,"I'm Missing You",Sunjae,110373,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
31,"Rumah Ke Rumah",Hindia,108608,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
32,Lose,NIKI,108401,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
33,34+35,"Ariana Grande",107102,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
34,"Hurts So Good","Astrid S",105869,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
35,Cuek,"Rizky Febian",105663,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
36,"Bahasa Kalbu",Raisa,105636,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
37,"Maafkan Aku #terlanjurmencinta","Tiara Andini",104880,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
38,positions,"Ariana Grande",101575,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
39,C.H.R.I.S.Y.E.,Diskoria,99782,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
40,"Into Your Arms (feat. Ava Max)","Witt Lowry",98932,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
41,"Before You Go","Lewis Capaldi",98816,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
42,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",98405,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
43,"Life Goes On",BTS,97166,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
44,"Resah Jadi Luka","Daun Jatuh",95728,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
45,"Stuck with U (with Justin Bieber)","Ariana Grande",95109,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
46,"Belum Siap Kehilangan","Stevan Pasaribu",89143,https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
47,Copines,"Aya Nakamura",84867,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
48,"Tanpa Batas Waktu - 8D Version","Ade Govinda",84851,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
